epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,19640.8,0.49972,0.9466,0.59806,1.06374,0.94397,0.93421,0.97436,0.89261,0.94397,0.93421,0.97436,0.84844,0.42635,0.77946,0.39149,1.03534,0.0076735,0.0076735,0.0076735
96,19843,0.51118,0.9449,0.60457,1.069,0.95105,0.95849,0.98458,0.90048,0.95105,0.95849,0.98458,0.85878,0.42548,0.7608,0.32496,1.02998,0.00764875,0.00764875,0.00764875
97,20049.2,0.50512,0.95361,0.62848,1.06442,0.96648,0.95468,0.98715,0.89777,0.96648,0.95468,0.98715,0.8562,0.43102,0.76325,0.32192,1.04828,0.007624,0.007624,0.007624
98,20251.6,0.50765,0.95573,0.6059,1.07228,0.96741,0.95712,0.9847,0.90525,0.96741,0.95712,0.9847,0.85486,0.42131,0.77473,0.323,1.01649,0.00759925,0.00759925,0.00759925
99,20458.4,0.50379,0.94574,0.58733,1.06702,0.95882,0.9673,0.9853,0.90211,0.95882,0.9673,0.9853,0.85479,0.41931,0.75257,0.31496,1.01979,0.0075745,0.0075745,0.0075745
100,20661.4,0.50806,0.94894,0.58624,1.06668,0.95787,0.95674,0.98076,0.90171,0.95523,0.9539,0.97658,0.85541,0.41341,0.76074,0.32406,1.02161,0.00754975,0.00754975,0.00754975
101,20868,0.49106,0.94411,0.59108,1.05944,0.94938,0.9544,0.98268,0.90299,0.94938,0.9544,0.98268,0.85058,0.41653,0.77576,0.33679,1.03258,0.007525,0.007525,0.007525
102,21073.6,0.50078,0.94629,0.58136,1.06057,0.95833,0.96151,0.9847,0.90761,0.95833,0.96151,0.9847,0.85532,0.41051,0.78415,0.31138,1.01333,0.00750025,0.00750025,0.00750025
103,21283.3,0.49584,0.95335,0.58927,1.0649,0.96251,0.95926,0.98141,0.89939,0.96251,0.95926,0.98141,0.85378,0.42235,0.77016,0.32615,1.0184,0.0074755,0.0074755,0.0074755
104,21484.7,0.49062,0.93437,0.5783,1.06135,0.9622,0.93184,0.9809,0.90417,0.9622,0.93184,0.9809,0.85533,0.40792,0.76294,0.33566,1.0103,0.00745075,0.00745075,0.00745075
105,21693.2,0.4945,0.92638,0.56801,1.05995,0.96697,0.94066,0.97941,0.90198,0.96697,0.94066,0.97941,0.85355,0.41534,0.7601,0.34133,1.02323,0.007426,0.007426,0.007426
